iter	Logloss
0	0.633125
1	0.5775042568
2	0.5303828626
3	0.4884364358
4	0.4530068422
5	0.4208939929
6	0.393499349
7	0.3695983574
8	0.3463195488
9	0.3276934032
10	0.3102462064
11	0.2964478478
12	0.2824198092
13	0.2693615723
14	0.2575782189
15	0.2480699432
16	0.2388218024
17	0.2302752842
18	0.2227442032
19	0.2153597631
20	0.2092366693
21	0.2034639642
22	0.1978087753
23	0.191974816
24	0.1872879889
25	0.1824729724
26	0.1775363394
27	0.1734611472
28	0.1690165671
29	0.1654906288
30	0.1619159405
31	0.1587833346
32	0.1560618865
33	0.1533911446
34	0.1504250238
35	0.1476628543
36	0.1450123635
37	0.1425673891
38	0.1402826241
39	0.1380543557
40	0.1356759096
41	0.1337976074
42	0.1318719326
43	0.1300400172
44	0.128478597
45	0.1267834316
46	0.1250475839
47	0.1233137082
48	0.1216948524
49	0.1200692201
50	0.1186630093
51	0.1171995036
52	0.1159070685
53	0.1148027312
54	0.1135242951
55	0.1124117025
56	0.1111899351
57	0.1100132399
58	0.108913942
59	0.107794166
60	0.1068006154
61	0.1058742895
62	0.1050619742
63	0.1040587283
64	0.1032048543
65	0.1023749718
66	0.1015505981
67	0.1006552124
68	0.0998820926
69	0.099005706
70	0.0981727561
71	0.09758014386
72	0.09676333696
73	0.09607813909
74	0.09524806879
75	0.09447581756
76	0.09368553748
77	0.09295510317
78	0.09207920172
79	0.09145193247
80	0.09068637946
81	0.08987560566
82	0.08926395514
83	0.08872329321
84	0.08812133007
85	0.08756565974
86	0.0872276267
87	0.08685440455
88	0.08635444054
89	0.08597856571
90	0.08526935284
91	0.08483504858
92	0.08445686536
93	0.08414030417
94	0.08354254307
95	0.08299488557
96	0.08265117939
97	0.08205075777
98	0.08175041003
99	0.08123375526
100	0.08100668883
101	0.08038416153
102	0.08019824688
103	0.07991278233
104	0.07953098395
105	0.07929776705
106	0.07919687124
107	0.0787797429
108	0.07858250545
109	0.07815429688
110	0.07762576372
111	0.07743389423
112	0.07697193635
113	0.07685587565
114	0.07670752892
115	0.07655880659
116	0.0763371316
117	0.0761441353
118	0.075935622
119	0.0759080075
120	0.07550493289
121	0.07488843086
122	0.07466306246
123	0.0744813029
124	0.07392995199
125	0.07385627942
126	0.07369614821
127	0.07349113269
128	0.07344211676
129	0.07337824895
130	0.07324095115
131	0.07319415753
132	0.0727245233
133	0.07267556215
134	0.07261879945
135	0.07230731671
136	0.07216990153
137	0.0719912798
138	0.07175508939
139	0.07171396109
140	0.07166679969
141	0.07162116418
142	0.07128320939
143	0.07108523638
144	0.0708191544
145	0.07070782784
146	0.07021132249
147	0.06993904309
148	0.06946509728
149	0.06942500188
150	0.0693962684
151	0.06916527381
152	0.06900601901
153	0.06855039939
154	0.0684776893
155	0.06834352151
156	0.06825890957
157	0.06809092986
158	0.06805000501
159	0.06793669872
160	0.06779032389
161	0.06775600336
162	0.06772219927
163	0.06735465025
164	0.06703689966
165	0.06698948787
166	0.06690881974
167	0.06686755058
168	0.0668270874
169	0.06675766382
170	0.06648021991
171	0.0661015672
172	0.06605091584
173	0.06602531237
174	0.06598668808
175	0.06584982065
176	0.06581979605
177	0.06578802647
178	0.06575904259
179	0.06565072867
180	0.0654598373
181	0.06514248579
182	0.06511472262
183	0.06509058243
184	0.06497289413
185	0.06492396428
186	0.06483479035
187	0.06481053279
188	0.06476236197
189	0.06467265594
190	0.06451909774
191	0.06444246732
192	0.06435647427
193	0.06434253008
194	0.06431537335
195	0.06429077148
196	0.0642715102
197	0.06419643304
198	0.06417472644
199	0.06408834995
200	0.06373194377
201	0.06371451745
202	0.06358368702
203	0.06333384587
204	0.06325929299
205	0.06297225561
206	0.0629533621
207	0.06293245756
208	0.06284574851
209	0.06280488234
210	0.06279058994
211	0.06272410075
212	0.06270114605
213	0.06256026048
214	0.06242065821
215	0.06201308422
216	0.06199856489
217	0.06173381708
218	0.06171995505
219	0.06154453375
220	0.06153305445
221	0.06146624443
222	0.06143166567
223	0.06112499139
224	0.06111253396
225	0.06109813984
226	0.06106934376
227	0.06102364173
228	0.06101211157
229	0.06100313236
230	0.06070267897
231	0.06069398538
232	0.06061641987
233	0.06060630603
234	0.06059351994
235	0.06021147117
236	0.06008724115
237	0.0598503817
238	0.05980723846
239	0.05979631473
240	0.05973399236
241	0.05942899264
242	0.05936857566
243	0.05935811361
244	0.05934766329
245	0.05933823414
246	0.05910824115
247	0.05905357165
248	0.05898611215
249	0.05894394703
250	0.05893570338
251	0.05887436304
252	0.05871314024
253	0.05860937657
254	0.05860045995
255	0.05846248529
256	0.05841793745
257	0.05838328826
258	0.05835501646
259	0.05834867037
260	0.05831695948
261	0.05829197419
262	0.05823859582
263	0.05823389689
264	0.05817443848
265	0.0580763988
266	0.05802778586
267	0.05799991314
268	0.05798526862
269	0.05797770574
270	0.05795581133
271	0.05795018123
272	0.05794588138
273	0.0576578463
274	0.05764493893
275	0.0575729957
276	0.0573634534
277	0.05705565232
278	0.0570472952
279	0.05698821239
280	0.05675258147
281	0.05668161245
282	0.05660060002
283	0.05659380399
284	0.05657824394
285	0.05655293783
286	0.05654944787
287	0.05653162247
288	0.0564853453
289	0.05645209288
290	0.05637910892
291	0.05633926783
292	0.05633511274
293	0.05629839384
294	0.05629104223
295	0.05625246488
296	0.05607931284
297	0.05607365535
298	0.0560271982
299	0.05601488554
300	0.05599871904
301	0.05590550741
302	0.0557817508
303	0.05576637464
304	0.05576354198
305	0.05531620515
306	0.05527661446
307	0.0552348758
308	0.05520451472
309	0.05482233683
310	0.05464354686
311	0.05456707294
312	0.05450066982
313	0.05449070466
314	0.0544570962
315	0.0542593462
316	0.05422162961
317	0.05397650694
318	0.05393082839
319	0.05392795661
320	0.05391545222
321	0.0538712213
322	0.05386564597
323	0.05386358408
324	0.05386098226
325	0.05384715936
326	0.05384064112
