iter	RMSE
689	0.828487981
690	0.8284714529
691	0.8284603369
692	0.8284536755
693	0.8284208674
694	0.8283993832
695	0.8283688215
696	0.8283582037
697	0.8283500425
698	0.8283418812
699	0.8283345527
700	0.8283233515
701	0.8283111508
702	0.828303697
703	0.8282961599
704	0.8282849582
705	0.8282690923
706	0.8282573073
707	0.8282454804
708	0.8282392754
709	0.8282285726
710	0.8282152461
711	0.8282076665
712	0.8281974215
713	0.8281790135
714	0.8281668107
715	0.8281529417
716	0.828138531
717	0.8281295347
718	0.8281115
719	0.8281036696
720	0.8280695564
721	0.8280589348
722	0.8280481881
723	0.828040607
724	0.8280290269
725	0.8280196545
726	0.8280071577
727	0.8279954938
728	0.8279822469
729	0.8279733738
730	0.8279618761
731	0.8279522113
732	0.8279331729
733	0.8279232161
734	0.8279177586
735	0.827912301
736	0.8278900537
737	0.8278820129
738	0.8278705973
739	0.8278593481
740	0.8278520153
741	0.8278460157
742	0.8278380994
743	0.8278323496
744	0.8278272665
745	0.8278103085
746	0.8278039753
747	0.8277940169
748	0.8277870168
749	0.8277704748
750	0.8277522239
751	0.8277425983
752	0.8277300557
753	0.8277220549
754	0.8277144292
755	0.8277055532
756	0.8276920932
757	0.8276824253
758	0.8276762994
759	0.8276671313
760	0.8276466277
761	0.8276368342
762	0.8276225396
763	0.8276109537
764	0.8276044939
765	0.8275963252
766	0.8275879898
767	0.8275793209
768	0.827573486
769	0.8275666507
770	0.8275578149
771	0.8275376837
772	0.8275312233
773	0.8275154681
774	0.8274968364
775	0.8274868327
776	0.8274820809
777	0.8274751199
778	0.8274683255
779	0.8274621564
780	0.8274471918
781	0.8274387715
782	0.8274311431
783	0.8274201381
784	0.827399962
785	0.8273899154
786	0.8273848295
787	0.8273704889
788	0.8273501447
789	0.8273442665
790	0.8273345111
791	0.8273239217
792	0.8273091631
793	0.8273014919
794	0.8272915275
795	0.8272686381
796	0.8272633013
797	0.8272546707
798	0.8272453728
799	0.8272385766
800	0.8272326559
801	0.8272284447
802	0.8272134342
803	0.8271827035
804	0.8271612706
805	0.827149845
806	0.8271364177
807	0.8271267015
808	0.8271121062
809	0.8271048084
810	0.8270931319
811	0.8270757418
812	0.8270633142
813	0.8270444639
814	0.8270373323
815	0.8270310348
816	0.8270216928
817	0.8270151866
818	0.8270063866
819	0.827000923
820	0.8269907047
821	0.8269855747
822	0.8269800693
823	0.8269606748
824	0.8269318534
825	0.8269135006
826	0.8269019048
827	0.8268893494
828	0.8268812154
829	0.8268726225
830	0.8268662821
831	0.826860025
832	0.8268523079
833	0.8268349962
834	0.8268280714
835	0.8268161824
836	0.8268067962
837	0.8267981608
838	0.8267905682
839	0.8267789707
840	0.8267726712
841	0.8267637851
842	0.8267558585
843	0.8267500595
844	0.8267299921
845	0.8267243181
846	0.8267176845
847	0.826712219
848	0.8266951964
849	0.8266861426
850	0.8266772556
851	0.8266728329
852	0.8266661572
853	0.8266610251
854	0.8266478402
855	0.8266419987
856	0.8266341127
857	0.826624933
858	0.8266106209
859	0.826595474
860	0.8265871702
861	0.8265780735
862	0.8265711466
863	0.8265655132
864	0.8265596711
865	0.8265522433
866	0.8265383055
867	0.8265343411
868	0.8265293752
869	0.8265157291
870	0.8265050458
871	0.8264991199
872	0.8264887285
873	0.8264807157
874	0.8264626868
875	0.8264556755
876	0.8264406927
877	0.826425167
878	0.8264194492
879	0.8264148582
880	0.8264100584
881	0.8264065108
882	0.8264002085
883	0.8263964104
884	0.8263817187
885	0.8263633955
886	0.8263527937
887	0.8263475762
888	0.8263307131
889	0.8263161037
890	0.82629924
891	0.8262910584
892	0.8262836282
893	0.8262698111
894	0.8262624641
895	0.8262494399
896	0.8262387531
897	0.8262269808
898	0.8262184646
899	0.8262146239
900	0.826209823
901	0.826206191
902	0.826202726
903	0.8261968814
904	0.826190995
905	0.8261859852
906	0.8261808502
907	0.8261740869
908	0.8261626477
909	0.8261560931
910	0.8261496636
911	0.8261463654
912	0.826133214
913	0.8261125471
914	0.8261055745
915	0.8260994787
916	0.8260861178
917	0.8260809822
918	0.8260762223
919	0.8260710031
920	0.8260621512
921	0.8260517543
922	0.8260468272
923	0.8260394365
924	0.8260324216
925	0.8260211892
926	0.8260137148
927	0.826007326
928	0.8259944229
929	0.8259896208
930	0.8259828977
931	0.825972458
932	0.8259636469
933	0.825958594
934	0.8259534575
935	0.825949031
936	0.8259397185
937	0.8259231811
938	0.8259123649
939	0.8259024255
940	0.8258839245
941	0.8258766159
942	0.8258695996
943	0.8258642955
944	0.8258448749
945	0.825838986
946	0.8258304657
947	0.8258216531
948	0.8258126732
949	0.8258051969
950	0.8258008948
951	0.8257902441
952	0.8257839788
953	0.8257755833
954	0.8257708217
955	0.825766603
956	0.8257620084
957	0.8257454257
958	0.8257364868
959	0.8257312654
960	0.8257275896
961	0.8257171467
962	0.825712886
963	0.8257084999
964	0.8257012315
965	0.8256919579
966	0.8256846059
967	0.8256691495
968	0.8256663089
969	0.8256402413
970	0.8256270819
971	0.825622946
972	0.8256039792
973	0.8255932006
974	0.8255855134
975	0.8255812102
976	0.825572562
977	0.8255347928
978	0.8255284421
979	0.8255231358
980	0.8255139438
981	0.8255073422
982	0.8254954342
983	0.8254906291
984	0.825485448
985	0.8254804339
986	0.8254760884
987	0.825471534
988	0.8254662691
989	0.8254620489
990	0.8254513937
991	0.8254487613
992	0.8254432874
993	0.8254338855
994	0.8254297069
995	0.825428119
996	0.8254145801
997	0.825409106
998	0.8253966115
999	0.8253925998
