iter	Passed	Remaining
303	1320	3022
304	1323	3016
305	1328	3012
306	1342	3031
307	1346	3025
308	1351	3023
309	1357	3021
310	1361	3016
311	1364	3009
312	1368	3003
313	1372	2998
314	1376	2992
315	1380	2987
316	1383	2981
317	1387	2976
318	1392	2971
319	1396	2967
320	1401	2963
321	1405	2958
322	1408	2952
323	1412	2947
324	1415	2940
325	1419	2935
326	1423	2929
327	1427	2924
328	1431	2919
329	1435	2913
330	1439	2909
331	1443	2904
332	1448	2900
333	1452	2895
334	1456	2890
335	1460	2885
336	1464	2880
337	1467	2874
338	1470	2868
339	1474	2862
340	1478	2857
341	1482	2852
342	1486	2847
343	1489	2841
344	1497	2844
345	1504	2843
346	1508	2838
347	1512	2833
348	1515	2827
349	1519	2822
350	1524	2818
351	1528	2813
352	1532	2809
353	1536	2803
354	1540	2798
355	1544	2794
356	1548	2788
357	1553	2785
358	1558	2782
359	1563	2779
360	1567	2775
361	1571	2769
362	1575	2764
363	1579	2759
364	1583	2753
365	1587	2749
366	1590	2743
367	1594	2738
368	1599	2734
369	1602	2729
370	1606	2724
371	1610	2718
372	1615	2714
373	1619	2710
374	1623	2705
375	1627	2700
376	1630	2694
377	1634	2689
378	1638	2683
379	1642	2679
380	1646	2675
381	1650	2670
382	1655	2666
383	1659	2661
384	1663	2656
385	1667	2651
386	1671	2646
387	1675	2643
388	1679	2637
389	1682	2631
390	1686	2626
391	1690	2622
392	1694	2617
393	1697	2611
394	1702	2607
395	1707	2603
396	1711	2599
397	1715	2594
398	1720	2591
399	1727	2590
400	1736	2594
401	1746	2598
402	1754	2599
403	1762	2600
404	1771	2601
405	1778	2602
406	1786	2603
407	1795	2605
408	1803	2606
409	1810	2604
410	1814	2599
411	1818	2595
412	1823	2591
413	1826	2585
414	1831	2581
415	1834	2575
416	1838	2570
417	1843	2566
418	1847	2562
419	1851	2557
420	1855	2551
421	1859	2546
422	1863	2542
423	1867	2536
424	1871	2532
425	1875	2527
426	1879	2522
427	1883	2517
428	1887	2512
429	1891	2507
430	1895	2502
431	1899	2497
432	1904	2493
433	1908	2488
434	1912	2484
435	1917	2479
436	1921	2475
437	1925	2470
438	1929	2466
439	1933	2461
440	1938	2456
441	1941	2451
442	1946	2447
443	1951	2443
444	1955	2438
445	1958	2433
446	1962	2427
447	1966	2423
448	1970	2418
449	1974	2413
450	1979	2409
451	1982	2403
452	1987	2399
453	1991	2394
454	1995	2390
455	1999	2385
456	2003	2380
457	2007	2376
458	2012	2371
459	2015	2366
460	2019	2361
461	2024	2357
462	2027	2351
463	2032	2347
464	2035	2342
465	2039	2337
466	2044	2332
467	2048	2328
468	2052	2324
469	2056	2319
470	2060	2314
471	2064	2309
472	2068	2305
473	2073	2300
474	2076	2295
475	2080	2290
476	2085	2286
477	2089	2281
478	2092	2276
479	2096	2271
480	2101	2267
481	2106	2263
482	2109	2258
483	2114	2254
484	2118	2249
485	2122	2244
486	2126	2240
487	2130	2235
488	2135	2231
489	2140	2227
490	2143	2222
491	2148	2218
492	2153	2214
493	2156	2209
494	2162	2206
495	2167	2202
496	2172	2198
497	2176	2194
498	2181	2189
499	2185	2185
500	2189	2180
501	2193	2176
502	2198	2172
503	2202	2167
504	2207	2163
505	2211	2159
506	2215	2154
507	2220	2150
508	2224	2145
509	2228	2140
510	2231	2135
511	2236	2131
512	2240	2127
513	2244	2121
514	2248	2117
515	2252	2112
516	2256	2107
517	2260	2103
518	2264	2098
519	2269	2094
520	2273	2090
521	2277	2085
522	2282	2081
523	2285	2076
524	2289	2071
525	2294	2067
526	2298	2063
527	2305	2060
528	2311	2058
529	2316	2054
530	2324	2052
531	2328	2048
532	2334	2045
533	2338	2040
534	2343	2036
535	2347	2032
536	2353	2029
537	2359	2026
538	2364	2022
539	2370	2019
540	2375	2015
541	2380	2011
542	2385	2007
543	2389	2002
544	2393	1997
545	2398	1993
546	2404	1991
547	2410	1988
548	2415	1984
549	2420	1980
550	2426	1977
551	2432	1974
552	2437	1970
553	2443	1966
554	2449	1963
555	2454	1960
556	2458	1955
557	2463	1951
558	2466	1945
559	2471	1941
560	2475	1937
561	2481	1933
562	2486	1929
563	2491	1926
564	2497	1922
565	2501	1918
566	2506	1913
567	2511	1910
568	2516	1906
569	2521	1902
570	2526	1898
571	2531	1894
572	2536	1890
573	2542	1886
574	2547	1883
575	2553	1879
576	2558	1875
577	2562	1871
578	2567	1867
579	2572	1863
580	2577	1858
581	2582	1854
582	2587	1850
583	2591	1845
584	2594	1840
585	2599	1836
586	2603	1831
587	2607	1826
588	2611	1822
589	2615	1817
590	2619	1812
591	2623	1808
592	2627	1803
593	2631	1798
594	2635	1793
595	2639	1789
596	2643	1784
597	2647	1779
598	2652	1775
599	2656	1771
600	2660	1766
601	2665	1761
602	2668	1757
603	2672	1752
604	2676	1747
605	2680	1742
606	2684	1738
607	2688	1733
608	2692	1728
609	2696	1724
610	2701	1719
611	2705	1715
612	2708	1710
613	2713	1705
614	2717	1700
615	2721	1696
616	2725	1691
617	2728	1686
618	2732	1681
619	2737	1677
620	2741	1672
621	2745	1668
622	2749	1663
623	2754	1659
624	2758	1654
625	2761	1650
626	2765	1645
627	2769	1640
628	2772	1635
629	2776	1630
630	2780	1625
631	2784	1621
632	2787	1616
633	2791	1611
634	2795	1606
635	2798	1601
636	2802	1596
637	2806	1592
638	2810	1587
639	2814	1582
640	2818	1578
641	2822	1573
642	2825	1569
643	2829	1564
644	2833	1559
645	2837	1554
646	2841	1550
647	2845	1545
648	2848	1540
649	2852	1536
650	2856	1531
651	2860	1526
652	2863	1521
653	2868	1517
654	2872	1512
655	2877	1508
656	2881	1504
657	2884	1499
658	2888	1494
659	2892	1490
660	2896	1485
661	2899	1480
662	2903	1475
663	2907	1471
664	2910	1466
665	2914	1461
666	2918	1456
667	2922	1452
668	2925	1447
669	2929	1442
670	2933	1438
671	2938	1434
672	2942	1429
673	2945	1424
674	2950	1420
675	2954	1415
676	2957	1411
677	2961	1406
678	2965	1401
679	2969	1397
680	2972	1392
681	2976	1387
682	2980	1383
683	2984	1378
684	2988	1374
685	2991	1369
686	2995	1364
687	2999	1360
688	3003	1355
689	3007	1351
690	3011	1346
691	3015	1341
692	3018	1337
693	3023	1333
694	3027	1328
695	3031	1324
696	3034	1319
697	3039	1315
698	3044	1311
699	3049	1306
700	3054	1302
701	3058	1298
702	3063	1294
703	3067	1289
704	3072	1285
705	3076	1281
706	3080	1276
707	3085	1272
708	3089	1267
709	3093	1263
710	3097	1258
711	3100	1254
712	3104	1249
713	3109	1245
714	3113	1241
715	3118	1236
716	3121	1232
717	3125	1227
718	3130	1223
719	3135	1219
720	3140	1215
721	3146	1211
722	3151	1207
723	3156	1203
724	3161	1199
725	3166	1194
726	3170	1190
727	3174	1186
728	3179	1181
729	3184	1177
730	3188	1173
731	3193	1169
732	3198	1165
733	3201	1160
734	3206	1155
735	3209	1151
736	3213	1146
737	3217	1142
738	3221	1137
739	3226	1133
740	3231	1129
741	3236	1125
742	3240	1121
743	3246	1116
744	3251	1112
745	3258	1109
746	3262	1105
747	3268	1101
748	3273	1097
749	3280	1093
750	3284	1088
751	3288	1084
752	3293	1080
753	3299	1076
754	3305	1072
755	3309	1068
756	3314	1064
757	3319	1059
758	3323	1055
759	3329	1051
760	3335	1047
761	3341	1043
762	3347	1039
763	3352	1035
764	3356	1030
765	3360	1026
766	3365	1022
767	3372	1018
768	3377	1014
769	3383	1010
770	3388	1006
771	3392	1001
772	3395	997
773	3401	993
774	3407	989
775	3412	985
776	3418	981
777	3423	976
778	3427	972
779	3432	968
780	3436	963
781	3441	959
782	3447	955
783	3453	951
784	3457	946
785	3461	942
786	3467	938
787	3472	934
788	3477	929
789	3481	925
790	3485	921
791	3490	916
792	3495	912
793	3501	908
794	3507	904
795	3512	900
796	3516	895
797	3521	891
798	3527	887
799	3532	883
800	3536	878
801	3544	875
802	3550	871
803	3555	866
804	3560	862
805	3564	858
806	3570	853
807	3577	850
808	3582	845
809	3587	841
810	3591	836
811	3596	832
812	3603	828
813	3610	825
814	3615	820
815	3619	816
816	3623	811
817	3627	807
818	3630	802
819	3634	797
820	3638	793
821	3642	788
822	3647	784
823	3651	779
824	3655	775
825	3660	771
826	3667	767
827	3673	763
828	3677	758
829	3681	754
830	3685	749
831	3688	744
832	3692	740
833	3696	735
834	3699	731
835	3703	726
836	3707	722
837	3711	717
838	3715	712
839	3718	708
840	3722	703
841	3725	699
842	3730	694
843	3733	690
844	3738	685
845	3742	681
846	3745	676
847	3749	672
848	3753	667
849	3757	663
850	3762	658
851	3765	654
852	3769	649
853	3773	645
854	3777	640
855	3781	636
856	3785	631
857	3789	627
858	3793	622
859	3797	618
860	3800	613
861	3805	609
862	3809	604
863	3813	600
864	3817	595
865	3820	591
866	3824	586
867	3828	582
868	3832	577
869	3836	573
870	3840	568
871	3843	564
872	3847	559
873	3851	555
874	3855	550
875	3859	546
876	3864	542
877	3869	537
878	3875	533
879	3880	529
880	3886	524
881	3891	520
882	3895	516
883	3899	511
884	3905	507
885	3912	503
886	3916	499
887	3920	494
888	3925	490
889	3930	485
890	3936	481
891	3940	477
892	3944	472
893	3952	468
894	3959	464
895	3965	460
896	3971	456
897	3977	451
898	3984	447
899	3988	443
900	3993	438
901	3999	434
902	4004	430
903	4008	425
904	4013	421
905	4017	416
906	4022	412
907	4028	408
908	4034	403
909	4039	399
910	4045	395
911	4050	390
912	4054	386
913	4059	381
914	4064	377
915	4069	373
916	4074	368
917	4080	364
918	4086	360
919	4092	355
920	4097	351
921	4102	347
922	4108	342
923	4113	338
924	4119	334
925	4125	329
926	4131	325
927	4136	320
928	4141	316
929	4147	312
930	4153	307
931	4159	303
932	4165	299
933	4170	294
934	4175	290
935	4180	285
936	4184	281
937	4188	276
938	4192	272
939	4196	267
940	4201	263
941	4205	258
942	4208	254
943	4212	249
944	4216	245
945	4220	240
946	4224	236
947	4228	231
948	4232	227
949	4237	223
950	4241	218
951	4245	214
952	4248	209
953	4252	205
954	4256	200
955	4260	196
956	4263	191
957	4268	187
958	4271	182
959	4275	178
960	4279	173
961	4282	169
962	4286	164
963	4289	160
964	4293	155
965	4297	151
966	4301	146
967	4304	142
968	4308	137
969	4311	133
970	4315	128
971	4319	124
972	4323	119
973	4326	115
974	4330	111
975	4334	106
976	4337	102
977	4341	97
978	4347	93
979	4353	88
980	4360	84
981	4364	79
982	4368	75
983	4371	71
984	4375	66
985	4378	62
986	4382	57
987	4386	53
988	4391	48
989	4396	44
990	4400	39
991	4404	35
992	4409	31
993	4414	26
994	4418	22
995	4423	17
996	4429	13
997	4434	8
998	4439	4
999	4443	0
